INFO - main.py - 2024-06-05 05:57:48,248 - Using device: cuda
INFO - main.py - 2024-06-05 05:57:48,251 - Namespace(config='configs/cfg_V3.yml', data_path='../../../datasets/private/METABREST/T1W_Breast/video_data', seed=1234, exp='mcvd_V3', comment='', verbose='info', resume_training=False, test=False, feats_dir='/nas-ctm01/homes/pfsousa/MCVD/datasets', stats_dir='/nas-ctm01/homes/pfsousa/MCVD/datasets', stats_download=False, fast_fid=False, fid_batch_size=1000, no_pr=False, fid_num_samples=None, pr_nn_k=None, sample=False, image_folder='images', final_only=None, end_ckpt=None, freq=None, no_ema=False, ni=True, interact=False, video_gen=False, video_folder='videos', subsample=None, ckpt=None, config_mod=[], start_at=0, command='python main.py --config configs/cfg_V3.yml --data_path ../../../datasets/private/METABREST/T1W_Breast/video_data --exp mcvd_V3 --ni', log_path='mcvd_V3/logs')
INFO - main.py - 2024-06-05 05:57:48,252 - Writing log file to mcvd_V3/logs
INFO - main.py - 2024-06-05 05:57:48,252 - Exp instance id = 231326
INFO - main.py - 2024-06-05 05:57:48,252 - Exp comment = 
INFO - main.py - 2024-06-05 05:57:48,253 - Config =
INFO - main.py - 2024-06-05 05:57:48,256 - Args =
INFO - ncsn_runner.py - 2024-06-05 05:57:49,599 - Number of parameters: 27967710
INFO - ncsn_runner.py - 2024-06-05 05:57:49,600 - Number of trainable parameters: 27967710
INFO - ncsn_runner.py - 2024-06-05 05:57:49,602 - Number of GPUs : 1
INFO - ncsn_runner.py - 2024-06-05 05:57:49,602 - _CudaDeviceProperties(name='NVIDIA A100 80GB PCIe', major=8, minor=0, total_memory=81050MB, multi_processor_count=108)
INFO - ncsn_runner.py - 2024-06-05 05:57:51,852 - elapsed: 0:00:02.240, train time: 0.0006, mem: 1.525GB, GPUmem: 1.196GB, step: 1, lr: 0.000000, grad: 16671.0664, loss: 61929.6523
INFO - ncsn_runner.py - 2024-06-05 05:57:54,714 - elapsed: 0:00:05.103, step: 1, mem: 1.791GB, GPUmem: 1.335GB, test_loss: 61217.3047
INFO - ncsn_runner.py - 2024-06-05 05:57:55,668 - elapsed: 0:00:06.056, train time: 0.0008, mem: 1.791GB, GPUmem: 1.468GB, step: 10, lr: 0.000002, grad: 16954.0039, loss: 61869.4062
INFO - ncsn_runner.py - 2024-06-05 05:57:56,648 - elapsed: 0:00:07.037, train time: 0.0010, mem: 1.791GB, GPUmem: 1.470GB, step: 20, lr: 0.000004, grad: 17002.9824, loss: 61573.4453
INFO - ncsn_runner.py - 2024-06-05 05:57:57,666 - elapsed: 0:00:08.055, train time: 0.0013, mem: 1.791GB, GPUmem: 1.470GB, step: 30, lr: 0.000006, grad: 16936.6777, loss: 61239.7930
INFO - ncsn_runner.py - 2024-06-05 05:57:58,671 - elapsed: 0:00:09.060, train time: 0.0015, mem: 1.791GB, GPUmem: 1.470GB, step: 40, lr: 0.000008, grad: 17050.9883, loss: 61794.0078
INFO - ncsn_runner.py - 2024-06-05 05:57:59,703 - elapsed: 0:00:10.092, train time: 0.0018, mem: 1.791GB, GPUmem: 1.470GB, step: 50, lr: 0.000010, grad: 16941.7539, loss: 61309.3281
INFO - ncsn_runner.py - 2024-06-05 05:58:00,728 - elapsed: 0:00:11.116, train time: 0.0020, mem: 1.791GB, GPUmem: 1.470GB, step: 60, lr: 0.000012, grad: 10733.0137, loss: 61350.1094
INFO - ncsn_runner.py - 2024-06-05 05:58:01,659 - elapsed: 0:00:12.048, train time: 0.0023, mem: 1.791GB, GPUmem: 1.470GB, step: 70, lr: 0.000014, grad: 15758.3301, loss: 61077.8555
INFO - ncsn_runner.py - 2024-06-05 05:58:02,614 - elapsed: 0:00:13.003, train time: 0.0025, mem: 1.791GB, GPUmem: 1.470GB, step: 80, lr: 0.000016, grad: 12690.2227, loss: 60944.0312
INFO - ncsn_runner.py - 2024-06-05 05:58:03,563 - elapsed: 0:00:13.951, train time: 0.0027, mem: 1.791GB, GPUmem: 1.470GB, step: 90, lr: 0.000018, grad: 16613.4512, loss: 60363.4062
INFO - ncsn_runner.py - 2024-06-05 05:58:04,548 - elapsed: 0:00:14.936, train time: 0.0030, mem: 1.791GB, GPUmem: 1.470GB, step: 100, lr: 0.000020, grad: 11737.8271, loss: 60775.5234
INFO - ncsn_runner.py - 2024-06-05 05:58:05,500 - elapsed: 0:00:15.888, train time: 0.0032, mem: 1.791GB, GPUmem: 1.470GB, step: 110, lr: 0.000022, grad: 16501.1270, loss: 59428.5938
